Lambda Range,Mean NDCG@10,Std Dev (σ),Variance (σ^2),Min NDCG@10,Max NDCG@10,% Users w/ Zero NDCG
λ=0.0,0.02442552231995412,0.10415500041373314,0.010848264111184752,0.0,1.0,93.52392065344223
λ=0.3,0.022943865250210943,0.10179139458858213,0.010361488012288428,0.0,1.0,93.9323220536756
λ=0.5,0.0201487047683173,0.09722689008899735,0.009453068156377972,0.0,1.0,94.86581096849474
λ=0.7,0.01880953050735076,0.09412718854465524,0.008859927623321075,0.0,1.0,95.09918319719954
λ=1.0,0.015539128286074006,0.08059038104390182,0.00649480951680129,0.0,1.0,95.15752625437572
MAB-MMR (Adaptif),0.02373744506363261,0.10301701001228145,0.010612504351870496,0.0,1.0,93.69894982497082
