Model,Training_Time_ms,Inference_Time_ms_per_user
CF,2168.185099999846,1.2327860000004875
CB,2207.2088999998414,163.7073860000055
Hybrid (No MMR),,172.3644940000031
MAB-MMR (Full),,210.35063199999968
