Model,Training_Time_ms,Inference_Time_ms_per_user
CF,1234.6638999997595,2.0513060000030237
CB,1981.8907000003492,122.56103400000029
Hybrid (No MMR),,132.01998000000458
MAB-MMR (Full),,188.50957599999674
