episode_group,novelty_mab,novelty_hybrid
Episodes 1-106,0.8821686778491025,0.8819516531788885
Episodes 107-212,0.8778935533213926,0.876548261841572
Episodes 213-318,0.8834133165499699,0.8798468518081453
Episodes 319-424,0.8784295781092707,0.8756853926708416
Episodes 425-532,0.8868791590947717,0.8823307926629972
