Context_Model,Baseline_Model,Mean_Diff,t_stat,p_value,Cohens_d,Significance
hybrid_no_context,cf,0.007252256927901119,2.6630550107479256,0.00781599548575443,0.07537487653419063,**
hybrid_no_context,cb,-0.021989778512101734,-5.790594247767085,8.326383968870827e-09,-0.17646235459547244,***
hybrid_no_context,hybrid,-0.000320186993378907,-0.10228233642489826,0.9185445465126185,-0.0030542822870651596,ns
hybrid_no_context,hybrid_mmr_lambda_0.0,-0.000320186993378907,-0.10228233642489826,0.9185445465126185,-0.0030542822870651596,ns
hybrid_no_context,hybrid_mmr_lambda_0.3,0.0011614700763642703,0.3739713418663544,0.708471918966742,0.011204018163811408,ns
hybrid_no_context,hybrid_mmr_lambda_0.5,0.003956630558257915,1.3057934152717037,0.19179815004701367,0.038999871019363426,ns
hybrid_no_context,hybrid_mmr_lambda_0.7,0.005295804819224453,1.7906182299443887,0.07353110405895581,0.05296813308112566,ns
hybrid_no_context,hybrid_mmr_lambda_1.0,0.008566207040501208,2.800694307068004,0.005156548225555192,0.09124184905136921,**
hybrid_mab_mmr,cf,0.006884366664958515,2.3835235939406543,0.01725617891282182,0.07260055378650986,*
hybrid_mab_mmr,cb,-0.02235766877504434,-5.260889082157129,1.6139711839452407e-07,-0.18096921205028757,***
hybrid_mab_mmr,hybrid,-0.0006880772563215114,-1.2827508604929325,0.199752912069033,-0.006644408016737467,ns
hybrid_mab_mmr,hybrid_mmr_lambda_0.0,-0.0006880772563215114,-1.2827508604929325,0.199752912069033,-0.006644408016737467,ns
hybrid_mab_mmr,hybrid_mmr_lambda_0.3,0.000793579813421666,0.8506497006129007,0.3950828568818414,0.007751607680221499,ns
hybrid_mab_mmr,hybrid_mmr_lambda_0.5,0.0035887402953153104,2.7017203539195696,0.006966211723608278,0.035839172906127384,**
hybrid_mab_mmr,hybrid_mmr_lambda_0.7,0.004927914556281849,2.5140697255950646,0.01202571525772154,0.04995682126527076,*
hybrid_mab_mmr,hybrid_mmr_lambda_1.0,0.008198316777558603,3.380659569442618,0.0007393680587481654,0.0886697550160847,***
