Model,Training_Time_ms,Inference_Time_ms_per_user
CF,1505.2872999999636,1.3130960000034975
CB,1836.65689999998,153.39276200000313
Hybrid (No MMR),,161.8332840000039
MAB-MMR (Full),,197.3081699999966
