Lambda,Diversity,Similarity_to_Lambda_0.0
0.0,0.5801115000648256,100.0
0.3,0.6568520679372488,2.4504084014002334
0.5,0.7468429923505769,0.23337222870478413
0.7,0.9264618177103591,0.0
1.0,0.9775962660443407,0.0
MAB-MMR,0.6002593024763386,
